price,unit,location,bedrooms,baths,state
"
                                                                                        ₦180 million                                                                                     ",,"Parkview Estate, Ikoyi",,,Lagos
Price on call,,On Alluring Waterfronts Off Ahmadu Bello Way,,,Lagos
"
                                                        ₦4,000,000                                                    ",,Near Mega Plaza Idowu Martins,,,Lagos
"
                                                        ₦4,500,000                                                    ",,"In “A” Cluster @ 1,004 Estate",,,Lagos
Price on call,,t In A Gated Estate Off Admiralty Rd,,,Lagos
"
                                                        ₦2,500,000                                                    ",, Kayode Otitoju ,,,Lagos
Price on call,,@ Glover Rd,,,Lagos
Price on call,,Off Alexander Ave,,,Lagos
Price on call,,Off  Gerrard Rd ,3,,Lagos
"
                                                        ₦7,000,000                                                    ",, On Banana Island Rd,,,Lagos
Price on call,,"Gerrard Rd, Bourdilon Rd, Cooper",,,Lagos
"
                                                        ₦4,000,000                                                    ",,@ Cameron Road,,,Lagos
"
                                                        ₦30,000                                                    ",," Ebute-Metta East 112 Muritala Muhammed Way Ebute-Metta, Lagos",,,Lagos
"
                                                                                        ₦60 million                                                                                     ",,"Millenium Estate, Gbagada Lagos",,,Lagos
"
                                                                                        ₦180 million                                                                                     ",,"Parkview Estate, Ikoyi",,,Lagos
"
                                                        ₦30,000                                                    ",," Ebute-Metta East 112 Muritala Muhammed Way Ebute-Metta, Lagos",,,Lagos
"
                                                        ₦650,000                                                    ",,"Middle Floor Lsdpc Estate, Stadium Bus Stop, Pen Cinema",,,Lagos
"
                                                        ₦220,000                                                    ",,Ogba,,,Lagos
"
                                                        ₦250,000,000                                                    ",,Fagba,,,Lagos
"
                                                        ₦2,000,000                                                    ",,Fagba,,,Lagos
"
                                                        ₦700,000                                                    ",,New Oko Oba,,,Lagos
"
                                                        ₦1,500,000                                                    ",,Fagba,,,Lagos
"
                                                        ₦6,000,000                                                    ",,Opebi Road,,,Lagos
"
                                                        ₦500,000                                                    ",,Fagba Estate,,,Lagos
"
                                                        ₦2,500,000                                                    ",," Cmd/Jubilee Estate Road, Magodo Brook ",,,Lagos
Price on call,," Tejuosho Market, Yaba, Lagos.",,,Lagos
Price on call,,"on Matori Road, Mushin, Lagos",,,Lagos
"
                                                                                        ₦60 million                                                                                     ",,"Millenium Estate, Gbagada Lagos",,,Lagos
"
                                                                                        ₦180 million                                                                                     ",,"Parkview Estate, Ikoyi",,,Lagos
Price on call,," Gbaja Shopping Mall, Akerele Street, Surulere, Lagos.",,,Lagos
Price on call,,"Kadiri Street, Fadeyi, Lagos.",,,Lagos
Price on call,," Adepoju Street, Ketu, Lagos",,,Lagos
