price,unit,location,bedrooms,baths,parking_lots,state
"
                    ₦ 500 000 000
                ",,"Maitama, Maitama",6,8,6,Abuja
"
                    ₦ 15 000 000
                ","
                        Per Year
                    ","Maitama, Maitama, Maitama",5,6,6,Abuja
"
                    ₦ 10 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",5,5,5,Abuja
"
                    ₦ 30 000 000
                ","
                        Per Year
                    ","Asokoro, Asokoro",7,9,12,Abuja
"
                    ₦ 4 500 000
                ","
                        Per Year
                    ","Lifecamp, Gwarinpa, Gwarinpa",4,4,4,Abuja
"
                    ₦ 12 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",5,6,6,Abuja
"
                    ₦ 3 500 000
                ","
                        Per Year
                    ","Wuse 2, Wuse II, Wuse II",3,3,4,Abuja
"
                    ₦ 4 000 000
                ","
                        Per Year
                    ","Asokoro, Asokoro",2,3,3,Abuja
"
                    ₦ 5 000 000
                ","
                        Per Year
                    ","Asokoro, Asokoro",3,4,4,Abuja
"
                    ₦ 4 000 000
                ","
                        Per Year
                    ","Wuse II, Wuse II",3,3,4,Abuja
"
                    ₦ 6 000 000
                ","
                        Per Year
                    ","Ajesa St Wuse, Wuse II, Wuse II",3,4,2,Abuja
"
                    ₦ 6 500 000
                ","
                        Per Year
                    ","Asokoro, Asokoro",2,3,3,Abuja
"
                    ₦ 12 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",5,6,6,Abuja
"
                    ₦ 6 000 000
                ","
                        Per Year
                    ","Apo, Abuja",4,4,4,Abuja
"
                    ₦ 4 500 000
                ","
                        Per Year
                    ","Jabi, Jabi",3,4,4,Abuja
"
                    ₦ 2 400 000
                ","
                        Per Year
                    ","Utako, Utako",2,2,5,Abuja
"
                    ₦ 2 500 000
                ","
                        Per Year
                    ","Wuse II, Wuse II",1,1,3,Abuja
"
                    ₦ 4 500 000
                ","
                        Per Year
                    ","Wuse II, Wuse II",2,3,,Abuja
"
                    ₦ 25 000 000
                ","
                        Per Year
                    ","Maitama, Maitama, Maitama",5,7,6,Abuja
"
                    ₦ 200 000
                ","
                        Per Year
                    ","52 Akowonjo Rd, Lagos Mainland, Lagos Mainland",,,,Lagos
"
                    ₦ 2 800 000
                ","
                        Per Year
                    ","Afolabi Awosanya Street, Opebi, Ikeja, Ikeja",4,5,3,Lagos
"
                    ₦ 10 000 000
                ","
                        Per Year
                    ","OFF BOURDILLON ROAD, Ikoyi-obalende, Ikoyi-obalende",5,5,,Lagos
"
                    ₦ 2 800 000
                ","
                        Per Year
                    ","Afolabi Awosanya Street, Opebi, Ikeja, Ikeja",4,5,3,Lagos
"
                    ₦ 2 000 000
                ","
                        Per Year
                    ","chevy view estate lekki lagos, Lekki, Lekki",3,3,,Lagos
"
                    ₦ 2 300 000
                ","
                        Per Year
                    ","Ado road by Ecobank off Ajah busstop, Lekki, Lekki",5,6,8,Lagos
"
                    ₦ 4 000 000
                ","
                        Per Year
                    ","Behind Meadow Hall School, Ikate Elegushi, Lekki, Lekki, Lekki",4,5,"
                    ",Lagos
"
                    ₦ 1 300 000
                ","
                        Per Year
                    ","mobil estate ajah, Lekki, Lekki",3,3,,Lagos
"
                    ₦ 6 000 000
                ","
                        Per Year
                    ","Off Adeola Hopewell Street, Victoria Island, Lekki",2,2,1,Lagos
"
                    ₦ 7 000 000
                ","
                        Per Year
                    ","IKOYI, Ikoyi-obalende, Ikoyi-obalende",3,3,,Lagos
"
                    ₦ 3 000 000
                ","
                        Per Year
                    ","osapa london , Lekki, Lekki",4,4,2,Lagos
