price,unit,location,bedrooms,baths,state
"₦39,000,000.00 ","₦39,000,000.00 ",", Crown Estate, Lekki, Lagos, Nigeria",4,0f,
"₦110,000,000.00 ","₦110,000,000.00 ",", Omole Phase 1, Omole, Lagos, Nigeria",0,0f,
"₦460,000,000.00 ","₦460,000,000.00 ",", Isheri Road , Aguda-Ogba, Ikeja, Ogba, Ikeja, Lagos, Nigeria",,,
"₦10,000,000.00 ","₦10,000,000.00 ",", Badore-Ajah, common fence with Cooperative Villa., Nigeria",0,,
"₦2,500,000.00 Per Year","₦2,500,000.00 Per Year",", Ocean Bay Estate, adj. Chevron, Lekki, Lagos, Nigeria",4,0f,
"₦4,000,000.00 Per Year","₦4,000,000.00 Per Year",", Lekki Phase 1, Lekki, Lagos, Nigeria",4,0f,
"₦8,000,000.00 Per Year","₦8,000,000.00 Per Year",", Osborne, Ikoyi, Lagos, Nigeria",4,0f,
"₦10,000,000.00 Per Year","₦10,000,000.00 Per Year",", Banana Island,, Ikoyi, Lagos, Nigeria",4,0f,
"₦5,000,000.00 Per Year","₦5,000,000.00 Per Year",", Oniru, Eti-Osa, Lagos, Nigeria",4,0f,
"₦700,000.00 Per Year","₦700,000.00 Per Year",", Badore, Ajah, Eti-Osa, Lagos, Nigeria",3,0f,
"₦100,000,000.00 ","₦100,000,000.00 ",", Banana Island,, Ikoyi, Lagos, Nigeria",0,0f,
"$1,300,000 ","$1,300,000 ",", Ocean Parade, Banana Island,, Ikoyi, Lagos, Nigeria",3,0f,
"₦170,000,000.00 ","₦170,000,000.00 ",", Parkview, Ikoyi, Lagos, Nigeria",5,0f,
"₦150,000,000.00 ","₦150,000,000.00 ",", Osborne1, Ikoyi, Lagos, Nigeria",4,0f,
"₦95,000,000.00 ","₦95,000,000.00 ",", Oniru, Victoria Island, Eti-Osa, Lagos, Nigeria",4,0f,
"₦250,000,000.00 ","₦250,000,000.00 ",", Oniru, Victoria Island, Eti-Osa, Lagos, Nigeria",0,,
"₦150,000,000.00 ","₦150,000,000.00 ",", VGC, Lekki, Lagos, Nigeria",0,,
"₦550,000.00 Per Year","₦550,000.00 Per Year",", Ogba, Ikeja, Lagos, Nigeria",2,0f,
"₦650,000.00 Per Year","₦650,000.00 Per Year",", Ogba, Ikeja, Lagos, Nigeria",3,0f,
"₦1,000,000.00 Per Year","₦1,000,000.00 Per Year",", Fadeyi street, opposite Excellence Hotel,, Ogba, Ikeja, Lagos, Nigeria",5,0f,
